2025-12-04 17:30:40 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 17:30:40 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 17:30:40 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 17:30:40 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 17:30:40 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 17:31:58 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 17:31:58 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 17:31:58 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 17:31:58 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 17:31:58 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 17:32:58 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 17:32:58 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 17:32:58 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 17:32:58 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 17:32:58 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 17:34:22 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 17:34:22 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 17:34:22 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 17:34:22 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 17:34:22 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 17:34:56 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 17:34:56 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 17:34:56 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 17:34:56 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 17:34:56 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 17:37:52 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 17:37:52 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 17:37:52 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 17:37:52 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 17:37:52 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 23:22:43 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:22:43 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:22:43 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 23:22:43 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:22:43 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 23:28:04 | INFO | maintenance | === INICIO PREPROCESADO PAYSIM ===
2025-12-04 23:28:04 | INFO | maintenance | Cargando dataset PaySim desde: data\raw\datasets\PaySim1.csv
2025-12-04 23:28:11 | INFO | maintenance | Dataset cargado correctamente. Filas=6362620, Columnas=11
2025-12-04 23:28:11 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:28:11 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:28:20 | INFO | maintenance | Duplicados eliminados: 0
2025-12-04 23:28:21 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:28:21 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 23:28:21 | INFO | maintenance | Guardando dataset en Bronze: data\bronze\paysim_preprocessed.parquet
2025-12-04 23:29:51 | INFO | maintenance | === INICIO PREPROCESADO PAYSIM ===
2025-12-04 23:29:51 | INFO | maintenance | Cargando dataset PaySim desde: data\raw\datasets\PaySim1.csv
2025-12-04 23:29:58 | INFO | maintenance | Dataset cargado correctamente. Filas=6362620, Columnas=11
2025-12-04 23:29:58 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:29:58 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:30:07 | INFO | maintenance | Duplicados eliminados: 0
2025-12-04 23:30:07 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:30:07 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 23:30:07 | INFO | maintenance | Guardando dataset en Bronze: data\bronze\paysim_preprocessed.parquet
2025-12-04 23:30:11 | INFO | maintenance | Dataset PaySim guardado correctamente en Bronze.
2025-12-04 23:30:11 | INFO | maintenance | === FIN PREPROCESADO PAYSIM ===
2025-12-04 23:31:35 | INFO | maintenance | Cargando dataset PaySim desde: data\raw\datasets\PaySim1.csv
2025-12-04 23:31:42 | INFO | maintenance | Dataset cargado correctamente. Filas=6362620, Columnas=11
2025-12-04 23:31:42 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:31:42 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:31:51 | INFO | maintenance | Duplicados eliminados: 0
2025-12-04 23:31:51 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:31:51 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 23:31:51 | INFO | maintenance | Guardando dataset en Bronze: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-0\test_preprocess_end_to_end0\paysim_preprocessed.parquet
2025-12-04 23:31:55 | INFO | maintenance | Dataset PaySim guardado correctamente en Bronze.
2025-12-04 23:32:00 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:32:00 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:32:00 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 23:32:00 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:32:00 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 23:42:15 | INFO | maintenance | === INICIO PREPROCESADO PAYSIM ===
2025-12-04 23:42:15 | INFO | maintenance | Cargando dataset PaySim desde: data\raw\datasets\PaySim1.csv
2025-12-04 23:42:23 | INFO | maintenance | Dataset cargado correctamente. Filas=6362620, Columnas=11
2025-12-04 23:42:23 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:42:23 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:42:32 | INFO | maintenance | Duplicados eliminados: 0
2025-12-04 23:42:32 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:42:32 | INFO | maintenance | Preprocesado inicial completado con exito.
2025-12-04 23:42:32 | INFO | maintenance | Guardando dataset en Bronze: data\bronze\paysim_preprocessed.parquet
2025-12-04 23:42:36 | INFO | maintenance | Dataset PaySim guardado correctamente en Bronze.
2025-12-04 23:42:36 | INFO | maintenance | Generando parquets individuales por tipo de transacción...
2025-12-04 23:42:38 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_payment.parquet (filas=2151495)
2025-12-04 23:42:38 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_transfer.parquet (filas=532909)
2025-12-04 23:42:40 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_cash_out.parquet (filas=2237500)
2025-12-04 23:42:41 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_debit.parquet (filas=41432)
2025-12-04 23:42:42 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_cash_in.parquet (filas=1399284)
2025-12-04 23:42:42 | INFO | maintenance | Generación de parquets por tipo completada.
2025-12-04 23:42:42 | INFO | maintenance | === FIN PREPROCESADO PAYSIM ===
2025-12-04 23:45:35 | INFO | maintenance | === INICIO PREPROCESADO PAYSIM ===
2025-12-04 23:45:35 | INFO | maintenance | Cargando dataset PaySim desde: data\raw\datasets\PaySim1.csv
2025-12-04 23:45:42 | INFO | maintenance | Dataset cargado correctamente. Filas=6362620, Columnas=11
2025-12-04 23:45:42 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:45:42 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:45:51 | INFO | maintenance | Duplicados eliminados: 0
2025-12-04 23:45:52 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:45:52 | INFO | maintenance | Preprocesado inicial completado con éxito.
2025-12-04 23:45:52 | INFO | maintenance | Generando parquets individuales por tipo de transacción...
2025-12-04 23:45:54 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_payment.parquet (filas=2151495)
2025-12-04 23:45:55 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_transfer.parquet (filas=532909)
